datetime,prcp
2014-09-11,0.3
2014-09-12,0.0
2014-09-13,0.0
2014-09-14,0.0
2014-09-15,0.0
2014-09-16,0.3
2014-09-17,0.0
2014-09-18,0.0
2014-09-19,24.9
2014-09-20,0.5
2014-09-21,0.0
2014-09-22,0.3
2014-09-23,0.3
2014-09-24,0.5
2014-09-25,0.5
2014-09-26,0.0
2014-09-27,0.3
2014-09-28,0.0
2014-09-29,0.3
2014-09-30,0.0
2014-10-01,1.75
2014-10-02,0.0
2014-10-03,0.0
2014-10-04,0.3
2014-10-05,5.3
2014-10-06,3.6
2014-10-07,12.7
2014-10-08,0.5
2014-10-09,5.1
2014-10-10,0.8
2014-10-11,0.3
2014-10-12,5.1
2014-10-13,2.5
2014-10-14,16.0
2014-10-15,11.7
2014-10-16,9.7
2014-10-17,2.0
2014-10-18,5.8
2014-10-19,2.3
2014-10-20,0.5
2014-10-21,0.0
2014-10-22,0.5
2014-10-23,0.0
2014-10-24,0.0
2014-10-25,2.3
2014-10-26,0.0
2014-10-27,0.0
2014-10-28,0.3
2014-10-29,0.5
2014-10-30,2.0
2014-10-31,0.0
2014-11-01,1.5
2014-11-02,29.7
2014-11-03,7.9
2014-11-04,0.3
2014-11-05,2.0
2014-11-06,0.3
2014-11-07,18.0
2014-11-08,7.4
2014-11-09,3.6
2014-11-10,0.3
2014-11-11,1.8
2014-11-12,5.6
2014-11-13,11.2
2014-11-14,4.6
2014-11-15,5.3
2014-11-16,0.5
2014-11-17,7.6
2014-11-18,3.8
2014-11-19,0.0
2014-11-20,0.5
2014-11-21,0.0
2014-11-22,6.9
2014-11-23,6.1
2014-11-24,2.3
2014-11-25,0.3
2014-11-26,9.7
2014-11-27,2.0
2014-11-28,0.3
2014-11-29,1.8
2014-11-30,0.5
2014-12-01,0.0
2014-12-02,0.0
2014-12-03,0.0
2014-12-04,0.3
2014-12-05,0.3
2014-12-06,0.0
2014-12-07,0.5
2014-12-08,1.0
2014-12-09,0.3
2014-12-10,1.5
2014-12-11,0.3
2014-12-12,14.5
2014-12-13,1.0
2014-12-14,0.0
2014-12-15,1.3
2014-12-16,0.5
2014-12-17,10.7
2014-12-18,0.5
2014-12-19,8.6
2014-12-20,0.0
2014-12-21,0.8
2014-12-22,2.3
2014-12-23,0.5
2014-12-24,3.6
2014-12-25,0.3
2014-12-26,0.3
2014-12-27,9.1
2014-12-28,3.3
2014-12-29,0.0
2014-12-30,0.5
