Museum,Kpi,Number_of_visitors,Date,Comments,Date_Logged,ObjectId,date,self_counts,total_counts,likes_counts,retweet_counts,neutral_counts,positive_counts,negative_counts,Sentiment_value,day,weekend
Bristol Museum,visits,1268.0,2017-09-24,,2017/10/02 09:18:48.911+00,1681,2017-09-24,1.0,2.0,5.0,3.0,1.0,1.0,0.0,0.1591,Sunday,True
Bristol Museum,visits,765.0,2017-09-26,,2017/10/02 09:18:06.638+00,1655,2017-09-26,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.16463333333333333,Tuesday,False
Bristol Museum,visits,756.0,2017-09-27,,2017/10/02 09:15:10.317+00,1652,2017-09-27,1.0,0.0,2.0,2.0,0.0,0.0,0.0,,Wednesday,False
Bristol Museum,visits,736.0,2017-09-28,,2017/10/02 09:14:40.354+00,1650,2017-09-28,4.0,3.0,21.0,10.0,3.0,0.0,0.0,0.0,Thursday,False
Bristol Museum,visits,773.0,2017-09-29,,2017/10/02 09:14:01.297+00,1647,2017-09-29,8.0,5.0,19.0,17.0,2.0,3.0,0.0,0.18494000000000002,Friday,False
Bristol Museum,visits,1858.0,2017-09-30,,2017/10/02 09:13:24.335+00,1641,2017-09-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Saturday,True
Bristol Museum,visits,1421.0,2017-10-01,,2017/10/02 09:02:55.020+00,1634,2017-10-01,3.0,1.0,11.0,4.0,0.0,1.0,0.0,0.6696,Sunday,True
Bristol Museum,visits,729.0,2017-10-03,,2017/10/21 15:32:10.793+00,1629,2017-10-03,3.0,4.0,15.0,9.0,3.0,1.0,0.0,0.2004,Tuesday,False
Bristol Museum,visits,822.0,2017-10-04,,2017/10/21 15:31:43.812+00,1626,2017-10-04,1.0,0.0,4.0,5.0,0.0,0.0,0.0,,Wednesday,False
Bristol Museum,visits,822.0,2017-10-05,,2017/10/21 15:31:17.703+00,1623,2017-10-05,2.0,4.0,15.0,5.0,1.0,3.0,0.0,0.44205,Thursday,False
Bristol Museum,visits,735.0,2017-10-06,,2017/10/21 15:30:52.260+00,1620,2017-10-06,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,Friday,False
Bristol Museum,visits,2186.0,2017-10-07,,2017/10/21 15:30:28.162+00,1615,2017-10-07,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,Saturday,True
