Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
jay kynch,@kirpaty,2016-12-30T21:28:28.000Z,False,Away from sparkly things: Bristol Museum and more https://ossjay.wordpress.com/2016/12/30/away-from-sparkly-things-bristol-museum-and-more/… via ,0,1,0,0,[],['@ossjay'],[],https://pbs.twimg.com/profile_images/1392841487/on_top_of_the_garth_march_2011_edit2_normal.jpg,https://x.com/kirpaty/status/814946277398114304,tweet_id:814946277398114304
Logan Ennion,@louderyay,2016-12-30T17:59:34.000Z,False,"Saw these 1,300-year-old ceramic horses for Chinese tombs in Bristol Museum today.",0,0,2,0,[],[],[],https://pbs.twimg.com/profile_images/840895003643789313/pPKg_D9E_normal.jpg,https://x.com/louderyay/status/814893707682058241,tweet_id:814893707682058241
Gareth,@DrGarethMorgan,2016-12-30T17:21:01.000Z,False,"Paint Pot Angel by Street Artist Banksy. . . Er, Bristol Museum & Art Gallery   . . .",0,0,1,0,[],['@bristolmuseum'],[],https://pbs.twimg.com/profile_images/1814733252952829952/0osyRdrY_normal.jpg,https://x.com/DrGarethMorgan/status/814884007108378624,tweet_id:814884007108378624
Bristol Museum & Art Gallery,@bristolmuseum,2016-12-30T10:01:05.000Z,False,"Warrior storytelling sessions will take place today at 11.30am, 12.30pm, 1.30pm and 2.30pm. Under 16s get free entry #WarriorTreasures ^lm",0,1,2,0,['#WarriorTreasures'],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/814773291290415104,tweet_id:814773291290415104
Jenny Mathiasson,@curatedjenny,2016-12-30T08:19:56.000Z,False,Concorde final flight memories sought by Bristol museum http://bbc.in/2iep4nL #museums  #heritage,0,0,0,0,"['#museums', '#heritage']",['@BristolAero'],[],https://pbs.twimg.com/profile_images/1456767381649477636/-sXiDSTQ_normal.jpg,https://x.com/curatedjenny/status/814747839188373504,tweet_id:814747839188373504
sonja benskin mesher,@sonjabm,2016-12-30T06:37:37.000Z,False,Away from sparkly things: Bristol Museum and more https://ossjay.wordpress.com/2016/12/30/away-from-sparkly-things-bristol-museum-and-more/… via ,0,1,1,0,[],['@ossjay'],[],https://pbs.twimg.com/profile_images/1536192990200340481/NH5yU9o7_normal.jpg,https://x.com/sonjabm/status/814722087554256896,tweet_id:814722087554256896
jay kynch,@kirpaty,2016-12-30T00:10:08.000Z,False,Away from sparkly things: Bristol Museum and more https://ossjay.wordpress.com/2016/12/30/away-from-sparkly-things-bristol-museum-and-more…,0,2,0,0,[],[],[],https://pbs.twimg.com/profile_images/1392841487/on_top_of_the_garth_march_2011_edit2_normal.jpg,https://x.com/kirpaty/status/814624575354994689,tweet_id:814624575354994689
Bristol Museum & Art Gallery,@bristolmuseum,2016-12-29T15:20:28.000Z,False,Join us tomorrow for #WarriorTreasures themed activities including replica artefact handling and thrilling tales around the campfire ^lm,0,5,4,0,['#WarriorTreasures'],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/814491279920873472,tweet_id:814491279920873472
Sarah,@JustSJP,2016-12-29T11:51:02.000Z,False,daughter getting into the spirit at Bristol museum! #warriortreasures,0,1,1,0,['#warriortreasures'],[],[],https://pbs.twimg.com/profile_images/1368686332529303556/YTO8Fzom_normal.jpg,https://x.com/JustSJP/status/814438575521628161,tweet_id:814438575521628161
Bristol Museum & Art Gallery,@bristolmuseum,2016-12-28T17:05:59.000Z,False,Find out how we can bring Chinese New Year to your local school? Read our learning newsletter: http://ow.ly/Ow8Y307vqff  ^kd,0,3,3,0,[],['@BristolLearning'],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/814155447590649856,tweet_id:814155447590649856
