Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Bristol Museum & Art Gallery,@bristolmuseum,2019-02-14T19:30:27.000Z,False,"Our beautiful hall is the perfect setting for the Date with Leonardo event this evening...exquisite In Accord renaissance choir, vino and romantic sharing boards, and #Leonardo500 exhibition .^kg",0,1,18,0,['#Leonardo500'],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/1096129561157345280,tweet_id:1096129561157345280
This Is Our Art,@thisisour_art,2019-02-14T16:37:31.000Z,False,"St James's Fair, Bristol, Samuel Colman, 1824. Bristol Museum & Art Gallery https://artuk.org/discover/artworks/st-jamess-fair-bristol-188361…",1,0,6,0,[],[],[],https://pbs.twimg.com/profile_images/1082965738627973121/AO7TPq2t_normal.jpg,https://x.com/thisisour_art/status/1096086041629466624,tweet_id:1096086041629466624
Bristol Museum & Art Gallery,@bristolmuseum,2019-02-14T14:25:12.000Z,False,"This is Tagasode, a high-ranking courtesan (prostitute). Part of the skill of a top courtesan was to make her clients believe she loved them by writing them elegant notes and poems.",0,0,3,0,[],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/1096052742664138758,tweet_id:1096052742664138758
Bristol Museum & Art Gallery,@bristolmuseum,2019-02-14T11:45:12.000Z,False,"This Japanese print is from the Twelve Bouts of Lovemaking series  In a reversal of the usual roles, one of the men pours out sake or rice wine for a woman. #ValentinesDay",0,1,6,0,['#ValentinesDay'],[],['\\U0001f346'],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/1096012478079795201,tweet_id:1096012478079795201
Bristol Museum & Art Gallery,@bristolmuseum,2019-02-14T19:30:27.000Z,False,"Our beautiful hall is the perfect setting for the Date with Leonardo event this evening...exquisite In Accord renaissance choir, vino and romantic sharing boards, and #Leonardo500 exhibition .^kg",0,1,18,0,['#Leonardo500'],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/1096129561157345280,tweet_id:1096129561157345280
This Is Our Art,@thisisour_art,2019-02-14T16:37:31.000Z,False,"St James's Fair, Bristol, Samuel Colman, 1824. Bristol Museum & Art Gallery https://artuk.org/discover/artworks/st-jamess-fair-bristol-188361…",1,0,6,0,[],[],[],https://pbs.twimg.com/profile_images/1082965738627973121/AO7TPq2t_normal.jpg,https://x.com/thisisour_art/status/1096086041629466624,tweet_id:1096086041629466624
Bristol Museum & Art Gallery,@bristolmuseum,2019-02-14T08:30:25.000Z,False,"Happy Valentine's Day! In honour of the occasion, here's a Leonardo da Vinci drawing of the valves and ventricles of the heart  #Leonardo500 #ValentinesDay",0,12,21,0,"['#Leonardo500', '#ValentinesDay']",[],['\\u2665'],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/1095963459261530112,tweet_id:1095963459261530112
sqwzl,@sqwzl,2019-02-13T18:02:38.000Z,False,"Exciting #Bristol events #Tomorrow 
| #Art >> Wildlife Photographer Of The Year 2018 (M Shed) | #Art >> Leonardo Da Vinci: A Life In Drawing (Bristol Museum & Art Gallery) | #Theatre >> Show & Tell (The Wardrobe Theatre) |
See more >> http://bit.ly/2GHk07K",0,0,0,0,"['#Bristol', '#Tomorrow', '#Art', '#Art', '#Theatre']",[],[],https://pbs.twimg.com/profile_images/1000329830511063040/ZZcCJLpd_normal.jpg,https://x.com/sqwzl/status/1095745072996466690,tweet_id:1095745072996466690
Educational Visits UK,@SchoolTripsUK,2019-02-13T16:45:08.000Z,False,"The  Learning programme is delivered across five historic sites: Bristol Museum & Art Gallery, M Shed, Blaise Castle House Museum, The Red Lodge Museum and The Georgian House Museum - http://ow.ly/BZnI30nFKss",0,0,2,0,[],['@bristolmuseum'],[],https://pbs.twimg.com/profile_images/568428766506913793/E8j5rp9D_normal.jpeg,https://x.com/SchoolTripsUK/status/1095725571802390528,tweet_id:1095725571802390528
Bristol Museum & Art Gallery,@bristolmuseum,2019-02-13T16:34:26.000Z,False,"To celebrate #Leonardo500,  have released a set of stamps featuring Leonardo da Vinci's drawings. We might be biased but we especially love the cats!",1,9,25,0,['#Leonardo500'],['@RoyalMailStamps'],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/1095722877087875074,tweet_id:1095722877087875074
Bristol Museum & Art Gallery,@bristolmuseum,2019-02-13T10:59:02.000Z,False,The UWE Drawing and Print crew are settling in to the #Leonardo500 exhibition for a spot of imaginative inventing. Join them til 1pm today. They'll be back for other sessions on 27 Feb and 5 Mar too ,0,2,11,0,['#Leonardo500'],['@creative_uwe'],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/1095638471555858432,tweet_id:1095638471555858432
Bristol Museum & Art Gallery,@bristolmuseum,2019-02-12T21:16:42.000Z,False,Our tram's in storage  so you might see it on one of our regular store tours. Depends on the volunteer and what's accessible that day.   https://bristolmuseums.org.uk/m-shed/whats-on/behind-the-scenes-tours/… ^ad,0,2,5,0,[],['@mshedbristol'],['\\U0001f60a'],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/1095431526949507072,tweet_id:1095431526949507072
Bristol Museum & Art Gallery,@bristolmuseum,2019-02-12T16:50:17.000Z,False,"Looking at Rocks & Soils in school? Join us 19-22 March to find out how plate tectonics shape our geological landscape, identify types of rocks using their features &  make a soil profile to take home, all led by  experts. Rock on! https://bristolmuseums.org.uk/bristol-museum-and-art-gallery/learning/rock-on/… ^RH",0,1,3,0,[],['@BristolUni'],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/1095364480748437510,tweet_id:1095364480748437510
Bristol Museum & Art Gallery,@bristolmuseum,2019-02-12T15:35:17.000Z,False,"One month in and our Masters of Japanese Prints: Life in the City exhibition has already had 10,000 visitors! ",2,30,74,0,[],[],['\\U0001f970'],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/1095345603305971712,tweet_id:1095345603305971712
Weird Bristol factcheck,@BristolWeird,2019-02-12T15:14:53.000Z,False,"Two bristol trams survived destruction, or more accurately one and a half. One is now on display at Bristol Aerospace museum, the remains of another are at Bristol Museum in storage",1,2,8,0,[],[],[],https://pbs.twimg.com/profile_images/1089074012066664450/7gmcAFG9_normal.jpg,https://x.com/BristolWeird/status/1095340471512002560,tweet_id:1095340471512002560
Bristol Museum & Art Gallery,@bristolmuseum,2019-02-12T13:05:14.000Z,False,"Tomorrow 10-1 in the Leonardo exhibition: join Drawing and Print students from UWE to create new and fantastical inventions with drawing and collage, inspired by Leonardo's drawings. It's also Free Wednesday for students and under-26s ^km #Leonardo500 ",0,5,8,0,['#Leonardo500'],['@creative_uwe'],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/1095307845707448320,tweet_id:1095307845707448320
AES - amentsoc.org,@amentsoc,2019-02-12T13:04:49.000Z,False,"Our Members’ Day and AGM will be at Bristol Museum this year. It’s the year of the fly, so can you guess what the first talk we’ve arranged will be about? That’s right - moths.",2,9,20,0,[],[],[],https://pbs.twimg.com/profile_images/1413892227525398531/6Wd6eiwq_normal.jpg,https://x.com/amentsoc/status/1095307737863516161,tweet_id:1095307737863516161
