Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Elginism,@elginism,2018-12-30T17:32:08.000Z,False,"Thanks.
I was surprised to find this display in the back corner of the museum. Not sure how long it's been there.
I take my 5yo son to Bristol Museum 2 or 3 times per year, but normally he wants to go straight to the dinosaurs, so we don't pass this area.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/313110488/small_elginism_normal.jpg,https://x.com/elginism/status/1079429946274140160,tweet_id:1079429946274140160
Jack-the-Duck,@Jack_the_Duck,2018-12-30T14:47:35.000Z,False,Went to see Hokusai's big wave at Bristol museum and art gallary ,0,0,0,0,[],[],['\\U0001f5fb'],https://pbs.twimg.com/profile_images/713859740342812672/h4c7hD06_normal.jpg,https://x.com/Jack_the_Duck/status/1079388536208588800,tweet_id:1079388536208588800
Duncan Dine,@duncan_dine,2018-12-30T12:14:37.000Z,False,At Bristol Museum looking at Japanese art Exhibition of Katsushika  Hokusai his famous woodblock of The Wave,1,0,4,0,[],[],[],https://pbs.twimg.com/profile_images/1771461614643867648/XN1ecQmL_normal.jpg,https://x.com/duncan_dine/status/1079350038516637696,tweet_id:1079350038516637696
Elginism,@elginism,2018-12-29T18:37:14.000Z,False,Rosie is an apprentice at Bristol Museum.,1,0,2,0,[],[],[],https://pbs.twimg.com/profile_images/313110488/small_elginism_normal.jpg,https://x.com/elginism/status/1079083939699060736,tweet_id:1079083939699060736
The Red Lodge Museum,@RedLodgeMuseum,2018-12-29T12:58:49.000Z,False,"Tired of turkey and craving something cultural? Pop in to Red Lodge Museum to discover over 400 years of Bristol’s history, including this painting which is missing one of Bristol’s most iconic landmarks! Can you work out which one?   #thingstodo #bristol #museum",0,1,5,0,"['#thingstodo', '#bristol', '#museum']",['@brunelsbridge'],['\\U0001f914'],https://pbs.twimg.com/profile_images/1640719157900595201/M_qc5lwG_normal.jpg,https://x.com/RedLodgeMuseum/status/1078998774981316608,tweet_id:1078998774981316608
Tamsin Hutchings,@shadowgeiko,2018-12-28T19:38:13.000Z,False,"Spent a lovely afternoon at the Bristol Museum, with my Mum and Aunt. ",0,1,4,0,[],[],['\\u263a'],https://pbs.twimg.com/profile_images/378800000511173121/a11db45baec183aeed459106ce83b290_normal.jpeg,https://x.com/shadowgeiko/status/1078736899492204544,tweet_id:1078736899492204544
EUROPEAN ART,@EuropeanArtHIST,2018-12-27T14:44:41.000Z,False,"Unconscious Rivals - Lawrence Alma-Tadema, 1893. (Bristol Museum and Art Gallery, UK.) #AlmaTadema",0,0,6,0,['#AlmaTadema'],[],[],https://pbs.twimg.com/profile_images/1264719213056401409/pRSDugIM_normal.jpg,https://x.com/EuropeanArtHIST/status/1078300642177880066,tweet_id:1078300642177880066
Bristol Museum & Art Gallery,@bristolmuseum,2018-12-27T10:00:54.000Z,False,"There's only a few more days left to see Clowns: the Eggs-hibition... archive photos, original costumes, plus dressing-up clothes and a kids' trail.... not forgetting the weird & wonderful #clowneggs of course! https://bristolmuseums.org.uk/bristol-museum-and-art-gallery/whats-on/clowns-egg-hibition/… ^ad",0,1,2,0,['#clowneggs'],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/1078229225977581568,tweet_id:1078229225977581568
Ami salant,@amisalant,2018-12-26T20:13:28.000Z,True,"'Young Italian Girl' by Thomas Couture (1815–1879), Bristol Museum & Art Gallery",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/509703070112940032/hx834m-Z_normal.jpeg,https://x.com/amisalant/status/1078020993472438272,tweet_id:1078020993472438272
The Red Lodge Museum,@RedLodgeMuseum,2018-12-29T12:58:49.000Z,False,"Tired of turkey and craving something cultural? Pop in to Red Lodge Museum to discover over 400 years of Bristol’s history, including this painting which is missing one of Bristol’s most iconic landmarks! Can you work out which one?   #thingstodo #bristol #museum",0,1,5,0,"['#thingstodo', '#bristol', '#museum']",['@brunelsbridge'],['\\U0001f914'],https://pbs.twimg.com/profile_images/1640719157900595201/M_qc5lwG_normal.jpg,https://x.com/RedLodgeMuseum/status/1078998774981316608,tweet_id:1078998774981316608
Tamsin Hutchings,@shadowgeiko,2018-12-28T19:38:13.000Z,False,"Spent a lovely afternoon at the Bristol Museum, with my Mum and Aunt. ",0,1,4,0,[],[],['\\u263a'],https://pbs.twimg.com/profile_images/378800000511173121/a11db45baec183aeed459106ce83b290_normal.jpeg,https://x.com/shadowgeiko/status/1078736899492204544,tweet_id:1078736899492204544
The Bristol Press,@TheBristolPress,2018-12-26T12:30:42.000Z,False,Bristol museum invites children for drop-in crafts http://bristolpress.com/BP-Bristol+News/341572/bristol-museum-invites-children-for-dropin-crafts…,0,0,1,0,[],[],[],https://pbs.twimg.com/profile_images/1604930600669945868/7-fxqd0U_normal.jpg,https://x.com/TheBristolPress/status/1077904537728548864,tweet_id:1077904537728548864
Bristol Museum & Art Gallery,@bristolmuseum,2018-12-25T16:30:23.000Z,False,"Merry Christmas from us! 

This is Kanbara: Night Snow, 1833-34 by Utagawa Hiroshige I (1797-1858) from the series 'The Fifty-three Stations of theTōkaidō Road'

On display in our #JapanesePrints exhibition. We'll be back open on Thursday https://bristolmuseums.org.uk/bristol-museum-and-art-gallery/whats-on/hokusai-hiroshige-japanese-prints/… ^fc",0,5,24,0,['#JapanesePrints'],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/1077602466663985152,tweet_id:1077602466663985152
St Pauls Carnival,@StPaulsCRNVL,2018-12-25T14:21:00.000Z,False,"Fabrics of Africa exhibition now on at the Bristol museum.
Learn the history of Africa's fabric industry. Exhibition closing on the 19th may 2019#bristolmuseum #fabric #exhibition #africanfabrics",1,1,0,0,"['#bristolmuseum', '#fabric', '#exhibition', '#africanfabrics']",[],[],https://pbs.twimg.com/profile_images/1550100914886922240/sCOT8mob_normal.jpg,https://x.com/StPaulsCRNVL/status/1077569906600787968,tweet_id:1077569906600787968
sqwzl,@sqwzl,2018-12-25T07:04:38.000Z,False,"Do something different #Bristol events #Today 
| #Art >> Clowns: The Eggs-Hibition (Bristol Museum & Art Gallery) | #Music >> Sophie Filomena (Grain Barge) | #Workshop >> Kwmc Drop In: Training (Knowle West Media Centre) |
See more >> http://bit.ly/2LD5kHe",0,0,0,0,"['#Bristol', '#Today', '#Art', '#Music', '#Workshop']",[],[],https://pbs.twimg.com/profile_images/1000329830511063040/ZZcCJLpd_normal.jpg,https://x.com/sqwzl/status/1077460092000309250,tweet_id:1077460092000309250
Bristol Museum & Art Gallery,@bristolmuseum,2018-12-24T18:01:31.000Z,False,"Earlier this month whilst cataloging our pastel portraits, we discovered this portrait of a man called Clement Clarke Moore (1779-1863). He wrote 'A Visit from St Nicholas' - more commonly known as 'Twas the Night Before Christmas'. What great timing!  #HappyChristmasToAll",0,4,19,0,['#HappyChristmasToAll'],[],['\\U0001f385'],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/1077263010891264001,tweet_id:1077263010891264001
sqwzl,@sqwzl,2018-12-24T10:00:41.000Z,False,"Fabulous #Bristol events #Today 
| #Art >> Clowns: The Eggs-Hibition (Bristol Museum & Art Gallery) | #Theatre >> Missing Pieces (The Wardrobe Theatre) | #Theatre >> The Borrowers By Mary Norton (Tobacco Factory Theatre) |
See more >> http://bit.ly/2LvFx3D",0,0,1,0,"['#Bristol', '#Today', '#Art', '#Theatre', '#Theatre']",[],[],https://pbs.twimg.com/profile_images/1000329830511063040/ZZcCJLpd_normal.jpg,https://x.com/sqwzl/status/1077142007296987136,tweet_id:1077142007296987136
MuseumBums,@museumbums,2018-12-23T14:49:04.000Z,False,This statuesque #museumbum is '#Truth' at bristolmuseums. One of the 19 at the Museum and Art Gallery hunted yesterday  @ Bristol Museum & Art Gallery https://instagram.com/p/Bru9fval9I6/?utm_source=ig_twitter_share&igshid=wxe3qsk1qwad…,0,0,2,0,"['#museumbum', '#Truth']",[],"['\\U0001f44d', '\\U0001f3db', '\\U0001f351']",https://pbs.twimg.com/profile_images/1624814917902557186/Pf4X0WmJ_normal.jpg,https://x.com/museumbums/status/1076852194798854144,tweet_id:1076852194798854144
MuseumBums,@museumbums,2018-12-23T14:27:44.000Z,False,Here is the beautiful Eve keeping an eye on bristolmuseums  #museumbum @ Bristol Museum & Art Gallery https://instagram.com/p/Bru7EsFlde2/?utm_source=ig_twitter_share&igshid=hflq1werx9g9…,0,1,2,0,['#museumbum'],[],"['\\U0001f44d', '\\U0001f3db', '\\U0001f351']",https://pbs.twimg.com/profile_images/1624814917902557186/Pf4X0WmJ_normal.jpg,https://x.com/museumbums/status/1076846825183809541,tweet_id:1076846825183809541
John McCafferty,@jdmccafferty,2018-12-23T10:08:42.000Z,False,"23 Dec 1543: William Parr, brother of Queen Katherine, is created Earl of #Essex #otd Later becomes Marquis of Northampton (Bristol Museum)",0,5,6,0,"['#Essex', '#otd']",[],[],https://pbs.twimg.com/profile_images/639455138638336000/Wi5THLcX_normal.png,https://x.com/jdmccafferty/status/1076781638779047943,tweet_id:1076781638779047943
Bristol Museum & Art Gallery,@bristolmuseum,2018-12-23T09:40:06.000Z,False,"Roll up, roll up, it's the final couple of weeks of 'Clowns: the Eggs-hibition'! #Clowneggs #Circus250 https://bristolmuseums.org.uk/bristol-museum-and-art-gallery/whats-on/clowns-egg-hibition/… ^ad",0,3,4,0,"['#Clowneggs', '#Circus250']",[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/1076774441252802560,tweet_id:1076774441252802560
sqwzl,@sqwzl,2018-12-23T07:01:46.000Z,False,"Find your swing in #Bristol events #Weekend 
| #Workshop >> Kwmc Drop In: Training (Knowle West Media Centre) | #Art >> Hokusai And Hiroshige: Masters Of Japanese Landscape Prints (Bristol Museum & Art Gallery) |
See more >> http://bit.ly/2Lv7isV",0,0,1,0,"['#Bristol', '#Weekend', '#Workshop', '#Art']",[],[],https://pbs.twimg.com/profile_images/1000329830511063040/ZZcCJLpd_normal.jpg,https://x.com/sqwzl/status/1076734593850621953,tweet_id:1076734593850621953
Bristol Museum & Art Gallery,@bristolmuseum,2018-12-22T12:50:06.000Z,False,Are you part of  or  ? We have some brilliant museum activities just for you in 2019. Chinese New Year 26 Jan & Be a Brownie Archaeologist 9 March https://bristolmuseums.org.uk/bristol-museum-and-art-gallery/whats-on/become-a-brownie-archaeologist/…^RH,0,4,3,0,[],"['@GirlguidingBSG', '@GirlguidingSWE']",[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/1076459867995627520,tweet_id:1076459867995627520
