Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Bristol Museum & Art Gallery,@bristolmuseum,2017-07-20T19:23:39.000Z,False,"Before the bell! Our latest #teachers newsletter covering summer events, school workshops for September & more! http://mailchi.mp/bristol.gov.uk/bristol-museums-teachers-newsletter-july-2017?e=bddee0fbe1… ^kd",0,2,3,0,['#teachers'],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/888117215517474817,tweet_id:888117215517474817
Bristol Museum & Art Gallery,@bristolmuseum,2017-07-20T15:20:17.000Z,False,"Day 81 of #Bristol91, today represents any other Chinese languages, such as Wu and Min.https://pinterest.co.uk/bristolmuseums/diverse-bristol-91-languages/…",0,3,4,0,['#Bristol91'],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/888055971507048449,tweet_id:888055971507048449
Bristol Museum & Art Gallery,@bristolmuseum,2017-07-20T13:43:39.000Z,False,Magical tp see Ila dance here today by Adesola Akinleye & Dancing Strong. Our thanks also to @hannahmoreprim  &  ^kg,0,2,3,0,[],"['@katynoakes', '@ace_national']",[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/888031654136221696,tweet_id:888031654136221696
Bristol haart,@bristol_haart,2017-07-20T13:15:02.000Z,False,"The Bristol Museum & Art Gallery - With an all new Pliosaurus exhibit, there really is something for everyone to sink their teeth into!!",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/847004189632925696/7Qz9NiD-_normal.jpg,https://x.com/bristol_haart/status/888024452621008896,tweet_id:888024452621008896
Visit Bristol,@VisitBristol,2017-07-20T09:30:27.000Z,False,"Visit the Bristol Museum & Art Gallery this summer for world-class collections of art, geology and natural history: http://ow.ly/tzjd30dyWpG",0,5,3,0,[],[],[],https://pbs.twimg.com/profile_images/508911401197244417/6QyI3meU_normal.jpeg,https://x.com/VisitBristol/status/887967934622126080,tweet_id:887967934622126080
Emma Hallett,@eb6348,2017-07-19T15:43:34.000Z,False,Fun times at the museum! #babyjames #babyfriends #softplay #blocks @ Bristol Museum & Art Gallery https://instagram.com/p/BWu80szlHdo/,0,0,1,0,"['#babyjames', '#babyfriends', '#softplay', '#blocks']",[],[],https://pbs.twimg.com/profile_images/1143042054018260993/MK_EeTrW_normal.jpg,https://x.com/eb6348/status/887699443130269699,tweet_id:887699443130269699
Hotels Available,@HotelsAvailable,2017-07-19T10:04:45.000Z,False, Good morning Bristol Museum! We love tweeting about great #UK #attractions & we'd love it if you could follow us back! ,0,0,0,0,"['#UK', '#attractions']",['@bristolmuseum'],['\\U0001f5bc\\ufe0f'],https://pbs.twimg.com/profile_images/1209138170912215040/sTp3W4nf_normal.jpg,https://x.com/HotelsAvailable/status/887614178780958722,tweet_id:887614178780958722
Bristol Museum & Art Gallery,@bristolmuseum,2017-07-18T17:25:12.000Z,False,Art Attack! A day packed with creative activities inspired by objects from the past - 8-13yr olds #summerholiday https://bristolmuseums.org.uk/bristol-museum-and-art-gallery/whats-on/summer-art-attack/… ^lf,0,1,3,0,['#summerholiday'],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/887362633300664320,tweet_id:887362633300664320
Bristol Museum & Art Gallery,@bristolmuseum,2017-07-18T15:20:16.000Z,False,"Day 79 of #Bristol91, today represents any other Eastern European language (non EU) such as Macedonian. https://pinterest.co.uk/bristolmuseums/diverse-bristol-91-languages/…",0,1,1,0,['#Bristol91'],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/887331193125044224,tweet_id:887331193125044224
Lougher Contemporary,@Lougher_Contemp,2017-07-18T14:34:45.000Z,False,Bristol's very own Angel... #Banksy #PaintPotAngel @ Bristol Museum & Art Gallery https://instagram.com/p/BWsQKCRFLyL/,0,0,0,0,"['#Banksy', '#PaintPotAngel']",[],[],https://pbs.twimg.com/profile_images/1772657177120980993/xxYHjZTR_normal.jpg,https://x.com/Lougher_Contemp/status/887319734705954817,tweet_id:887319734705954817
Bristol Museum & Art Gallery,@bristolmuseum,2017-07-18T12:41:54.000Z,False,It's on for about a year so hopefully you can make it down at some point Natalie!,0,0,1,0,[],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/887291337455939585,tweet_id:887291337455939585
Sam Barnett,@Palaeosam,2017-07-18T10:41:26.000Z,False,James' family's theory of blunt toothed man-eaters consistent with the Bristol Museum tiger  Ep. 110,0,1,0,0,[],['@PalaeoAfterDark'],[],https://pbs.twimg.com/profile_images/2947116263/4afa0175e908d2750d17b1a1c80f0460_normal.jpeg,https://x.com/Palaeosam/status/887261021097820160,tweet_id:887261021097820160
Bristol Museum & Art Gallery,@bristolmuseum,2017-07-18T10:12:35.000Z,False,Hats off to all the graduates of the  and local schools involved. Great morning   #lovelearning ^kd,0,2,8,0,['#lovelearning'],"['@ChildrensuniWe', '@BristolHipp']",[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/887253761785253888,tweet_id:887253761785253888
Bristol Museum & Art Gallery,@bristolmuseum,2017-07-18T09:04:31.000Z,False,The graduates are queuing!  ceremony about to begin. Bristol Museums pleased to be involved as #Learning Destinations ^kd,0,0,4,0,['#Learning'],['@ChildrensuniWe'],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/887236631815757824,tweet_id:887236631815757824
Bristol Museum & Art Gallery,@bristolmuseum,2017-07-18T08:34:27.000Z,False,All set up and excited for the  graduation ceremony  :) Congratulations to you all! ^kd,0,6,6,0,[],"['@ChildrensuniWe', '@BristolHipp']",[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/887229063814946816,tweet_id:887229063814946816
