Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Edwardian Culture,@EdwardianCNet,2015-04-06T20:00:59.000Z,False,Ten Edwardian Paintings from the Bristol Museum and Art Gallery http://wp.me/p1G4gz-AW,0,1,4,0,[],[],[],https://pbs.twimg.com/profile_images/427828987100819456/LLK9RcQv_normal.jpeg,https://x.com/EdwardianCNet/status/585170356022849536,tweet_id:585170356022849536
Bristol Museum & Art Gallery,@bristolmuseum,2015-04-06T09:25:14.000Z,False,Our Buried Treasure workshop on 25 April is the perfect opportunity to explore our archaeology collection http://bristolmuseums.org.uk/bristol-museum-and-art-gallery/whats-on/buried-treasure/… ^lm,0,2,1,0,[],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/585010363122503681,tweet_id:585010363122503681
G,@picsbygeorgia,2015-04-05T23:57:19.000Z,False,oh how I adore Bristol Museum,0,0,1,0,[],[],[],https://pbs.twimg.com/profile_images/1770135640098705408/hbFHDh1d_normal.jpg,https://x.com/picsbygeorgia/status/584867441613938688,tweet_id:584867441613938688
Mélanie Woebespierre de Clegane,@MmeGuillotine,2015-04-05T21:41:11.000Z,False," M Shed, Bristol Museum and the Arnolfini are our usual haunts. :)",1,0,0,0,[],['@DillyTante'],[],https://pbs.twimg.com/profile_images/1646571448687837185/AnbtDajn_normal.jpg,https://x.com/MmeGuillotine/status/584833183180574721,tweet_id:584833183180574721
G,@picsbygeorgia,2015-04-05T20:09:46.000Z,False,saw this at Bristol Museum and something about it really got to me,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1770135640098705408/hbFHDh1d_normal.jpg,https://x.com/picsbygeorgia/status/584810177041457152,tweet_id:584810177041457152
Bristol Museum & Art Gallery,@bristolmuseum,2015-04-05T07:35:12.000Z,False,Happy Easter from us and these rabbit egg cups from Malta! Hope the Easter bunny brings you lots of eggs  ^ad,0,2,4,0,[],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/584620285678190592,tweet_id:584620285678190592
Bristol Museum & Art Gallery,@bristolmuseum,2015-04-04T14:37:21.000Z,False,RT @ArnolfiniArts: Curating student from  reports on #DoHoSuh at  http://trib.al/2XRaAx0 https://pic.x.com/0hj9j0vsi6 ^GB,0,0,1,0,['#DoHoSuh'],"['@UWEBristol', '@bristolmuseum']",[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/584364136328523777,tweet_id:584364136328523777
EliiBakes,@Elina_Baiza,2015-04-04T12:07:09.000Z,False,"I'm at  and Art Gallery in Bristol, Avon w/  https://swarmapp.com/c/cegPFHFK8kn",0,0,1,0,[],"['@Bristol_Museum', '@tgandrews']",[],https://pbs.twimg.com/profile_images/1565295992047636482/qj-Pq6Qy_normal.jpg,https://x.com/Elina_Baiza/status/584326337768382464,tweet_id:584326337768382464
Elizabeth Harrison,@CorArdens,2015-04-04T11:32:22.000Z,False,Bristol Museum has some odd treasures,0,0,2,0,[],[],[],https://pbs.twimg.com/profile_images/1517763647132602368/Ar8aOs_P_normal.jpg,https://x.com/CorArdens/status/584317582771146753,tweet_id:584317582771146753
Bristol Museum & Art Gallery,@bristolmuseum,2015-04-04T09:25:12.000Z,False,The hidden treasures of #Bristol open today... http://bristolmuseums.org.uk/blog/discover-bristols-hidden-treasures/… ^lm,0,4,6,0,['#Bristol'],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/584285580374253568,tweet_id:584285580374253568
